SEQENCE ID                     TM SP PREDICTION
Q8DQY3                          0  0 o
Q8DQZ1                          0  0 o
Q8DQZ7                          0  0 o
Q8DR04                          0  0 o
Q8DR05                          0  0 o
Q8DR13                          0  0 o
Q8DR15                          0  0 o
Q8DR19                          0  0 o
Q8DR20                          0  0 o
Q8DR22                          0  0 o
Q8DR28                          0  0 o
Q8DR29                          0  0 o
Q8DR34                          7  0 o26-45i57-75o81-110i131-152o246-264i271-289o319-338i
Q8DR48                          0  0 o
Q8DR54                          0  0 o
Q8DR69                         10  0 o6-26i47-69o75-95i115-132o138-160i172-191o197-214i221-242o248-269i306-325o
Q8DRB0                          0  0 o
Q8DRB3                          0  0 o
Q8DRD4                          0  Y n3-12c17/18o
Q8DRE8                          1  0 i70-91o
Q8DRE9                          0  0 o
Q8DRF9                          0  0 o
Q8DRH2                          0  0 o
Q8DRH7                          0  0 o
Q8DRI5                          0  0 o
Q8DRL8                          0  0 o
Q8DRM0                          0  0 o
Q8DRM1                          0  0 o
Q8DRM3                          0  0 o
Q8DRM4                          0  0 o
Q8DRM5                          0  0 o
Q8DRP0                          0  0 o
Q8DRP8                          0  0 o
Q8DRQ1                          0  0 o
Q8DRQ2                          0  0 o
Q8DRQ4                          0  0 o
P0A2U7                          0  0 o
P0A2Y3                          0  0 i
P0A3B8                          0  0 o
P0A3L8                          0  0 o
P0A3Q1                          0  Y n7-15c20/21o
P0A3Q8                          6  0 o6-28i35-55o83-103i135-155o161-185i212-233o
P0A3R2                          0  0 o
P0A3Y8                          0  0 o
P0A460                          0  0 o
P0A472                          0  0 o
P0A474                          0  0 o
P0A476                          0  0 i
P0A484                          0  0 o
P0A496                          0  0 i
P0A4B4                          0  0 i
P0A4B6                          0  0 i
P0A4C4                          0  0 o
P0A4G1                          0  Y n9-22c31/32o
P0A4G3                          0  Y n7-18c23/24o
P0A4K5                         12  0 i12-35o47-71i83-102o108-125i137-158o164-186i207-228o248-270i282-302o308-328i340-358o370-388i
P0A4M8                          6  0 i12-31o279-299i320-340o360-379i418-440o460-479i
P0A4N0                          6  0 i44-63o111-133i145-163o169-188i243-263o275-299i
P0A4N2                          8  0 i35-52o72-93i130-156o194-218i230-250o292-314i339-358o402-424i
P0A4N4                          6  0 i16-39o72-98i110-135o141-159i186-207o244-265i
P59204                          4  0 i25-47o165-193i213-231o237-255i
P59212                          0  0 i
P59651                          0  0 o
P59654                          1  0 o20-41i
P59658                          0  0 o
P59661                          0  0 o
P60243                          0  0 i
P60630                          0  0 i
P61183                          0  0 o
P61361                          0  0 o
P63958                          0  0 o
P64023                          0  0 o
P64043                          0  0 o
P64073                          0  0 o
P64404                          0  0 o
P64406                          0  0 i
P65122                          0  0 o
P65145                          0  0 o
P65505                          0  0 o
P65521                          0  0 o
P65583                          0  0 o
P65608                          0  0 o
P65756                          0  0 o
P65833                          0  0 i
P65947                          0  0 o
P66051                          0  0 o
P66096                          0  0 i
P66113                          0  0 o
P66136                          0  0 o
P66156                          0  0 o
P66201                          0  0 i
P66257                          0  0 i
P66279                          0  0 i
P66321                          0  0 o
P66340                          0  0 i
P66360                          0  0 i
P66393                          0  0 o
P66420                          0  0 i
P66445                          0  0 i
P66473                          0  0 i
P66525                          0  0 i
P66566                          0  0 o
P66582                          0  0 o
P66603                          0  0 o
P66633                          0  0 o
P66718                          0  0 o
P66855                          0  0 o
P67267                          0  0 i
P67319                          0  0 o
P67331                          0  0 o
P67383                          0  0 o
P67466                          0  0 i
P67531                          0  0 o
Q7CRB0                          0  0 o
Q7CRB8                          0  0 o
Q7ZAK6                          0  0 o
Q8CWM8                          0  0 o
Q8CWN3                          0  0 i
Q8CWN6                          0  0 o
Q8CWN7                          0  Y n6-13c17/18o
Q8CWN9                          0  0 o
Q8CWP3                          0  0 o
Q8CWP4                          0  0 o
Q8CWP8                          0  Y n10-21c29/30o
Q8CWQ0                          0  0 i
Q8CWQ4                          0  0 o
Q8CWQ6                          0  0 o
Q8CWQ9                          0  0 o
Q8CWR3                          0  0 o
Q8CWR5                          0  0 o
Q8CWR8                          0  0 i
Q8CWS0                          0  0 i
Q8CWS2                          0  0 o
Q8CWS4                          0  0 o
Q8CWS9                          0  0 i
Q8CWT6                          1  0 o33-52i
Q8CWT8                          0  Y n4-19c27/28o
Q8CWU3                          1  Y n19-33c41/42o1054-1072i
Q8CWU4                          0  0 o
Q8CWU5                          0  0 o
Q8CWU6                          0  0 i
Q8CWU8                          0  0 i
Q8CWV0                          0  0 o
Q8CWV1                          0  0 o
Q8CWV2                          0  0 i
Q8CWV3                          0  0 o
Q8CWV4                          0  0 o
Q8CWV5                          0  0 o
Q8CWV6                          0  0 o
Q8CWV7                          0  0 o
Q8CWV8                          0  0 o
Q8CWW1                          0  0 o
Q8CY62                          0  Y n11-26c31/32o
Q8CY64                          0  0 o
Q8CYJ1                          0  0 o
Q8CYV3                          1  0 i7-27o
Q8CZ28                          6  0 i7-26o32-50i71-91o97-116i128-147o159-179i
Q8CZ37                          0  0 o
Q8CZ52                          1  Y n17-32c37/38o1634-1651i
Q8CZE9                          0  0 o
Q8DMX8                          5  0 i12-29o35-54i75-99o105-123i135-161o
Q8DMY1                          5  0 i21-39o45-66i73-94o106-128i241-262o
Q8DMY3                          5  Y n7-17c21/22o31-48i55-74o80-99i106-130o136-159i
Q8DMY8                          0  0 o
Q8DMZ0                          0  0 o
Q8DMZ1                          2  0 i9-27o33-50i
Q8DN06                          0  0 i
Q8DN07                          1  0 i20-40o
Q8DN12                         12  0 o20-36i41-58o64-81i93-114o120-138i150-168o197-217i229-248o288-306i318-336o342-360i381-407o
Q8DN13                          1  0 i12-31o
Q8DN27                          0  0 o
Q8DN28                          0  Y n6-16c24/25o
Q8DN31                          0  0 o
Q8DN40                         11  0 o6-26i38-55o81-104i125-158o178-198i219-240o260-279i300-323o329-357i369-389o421-440i
Q8DN49                          0  0 o
Q8DN51                          0  0 o
Q8DN54                          0  0 o
Q8DN55                          0  0 o
Q8DN56                          0  0 i
Q8DN58                          0  Y n8-15c27/28o
Q8DN62                          6  0 i9-30o50-82i102-126o132-152i173-197o241-262i
Q8DN63                          5  0 i12-34o65-98i110-131o137-162i258-279o
Q8DN64                          0  Y n7-17c22/23o
Q8DN65                          2  0 i7-27o33-51i
Q8DN66                          0  0 o
Q8DN69                          0  0 o
Q8DN70                          6  0 i12-29o49-77i123-146o152-173i228-255o275-294i
Q8DN72                          5  0 i21-46o83-110i159-177o183-202i262-291o
Q8DN75                          0  0 o
Q8DN76                          0  0 o
Q8DN81                          0  0 o
Q8DN83                          0  0 o
Q8DN92                          0  0 i
Q8DN94                         11  0 o38-57i69-89o127-148i157-179o185-202i262-284o304-323i365-385o391-411i420-442o462-485i
Q8DN96                          0  0 o
Q8DN97                          0  0 o
Q8DN98                          0  0 o
Q8DN99                          0  0 o
Q8DNA5                          0  0 o
Q8DNA6                          0  0 i
Q8DNA8                         10  0 i29-51o63-90i102-121o141-163i184-207o227-247i292-311o342-364i371-391o397-417i
Q8DNB2                          0  0 o
Q8DNB5                          0  0 o
Q8DNB8                          0  0 o
Q8DNC1                          5  0 i7-27o33-52i59-83o103-122i129-148o
Q8DNC2                          0  0 o
Q8DNC4                          0  Y n5-14c22/23o
Q8DNC7                          0  0 o
Q8DND6                          0  0 i
Q8DND7                          1  0 o15-34i
Q8DND9                          0  0 o
Q8DNE0                          0  0 o
Q8DNE2                          0  0 i
Q8DNE7                          1  0 i7-30o
Q8DNF3                          1  Y n9-19c25/26o555-574i
Q8DNF4                          6  0 i155-180o192-211i269-287o293-312i372-395o407-428i
Q8DNF8                          0  0 o
Q8DNH4                          0  0 i
Q8DNH5                          0  0 o
Q8DNH6                          0  0 o
Q8DNI1                          0  Y n6-16c21/22o
Q8DNI7                          0  0 o
Q8DNI9                          0  0 o
Q8DNJ0                          0  0 o
Q8DNJ1                          0  0 i
Q8DNJ6                          0  0 o
Q8DNJ7                          0  0 o
Q8DNJ8                          0  0 o
Q8DNJ9                          6  0 o25-46i53-74o80-97i145-172o178-198i210-229o
Q8DNK2                          0  0 i
Q8DNK8                          0  0 o
Q8DNL3                          6  0 i31-49o69-86i143-163o169-187i261-281o293-313i
Q8DNL4                          5  0 i21-46o66-89i139-158o164-182i258-286o
Q8DNL6                          0  0 o
Q8DNL8                          0  0 o
Q8DNL9                          0  0 o
Q8DNM0                          0  Y n6-17c21/22o
Q8DNM2                         12  0 i12-29o66-88i100-120o140-163i200-222o246-265i296-321o355-377i389-414o420-440i475-495o534-553i
Q8DNM5                          0  0 o
Q8DNM6                          0  0 o
Q8DNM7                          0  0 o
Q8DNM8                          0  0 o
Q8DNM9                          0  0 o
Q8DNP1                          0  0 o
Q8DNP4                          0  0 o
Q8DNP5                          0  0 o
Q8DNP9                          0  0 o
Q8DNQ9                          0  0 o
Q8DNR5                          0  0 o
Q8DNR7                          0  0 o
Q8DNS5                          0  0 o
Q8DNS7                          0  0 o
Q8DNS8                         11  0 i111-132o144-164i176-196o208-232i244-269o275-294i301-321o327-345i357-379o385-408i429-448o
Q8DNS9                          0  0 o
Q8DNT9                          0  0 o
Q8DNU0                          0  0 o
Q8DNU7                          9  Y n19-30c38/39o67-85i92-114o120-138i159-179o267-285i297-314o320-343i350-369o375-397i
Q8DNV8                          0  0 o
Q8DNW0                          0  0 o
Q8DNW1                          0  0 i
Q8DNW6                          0  0 o
Q8DNW7                          8  0 i12-38o58-84i96-116o136-154i174-193o199-216i223-242o248-267i
Q8DNX1                          0  0 o
Q8DNX3                          0  0 o
Q8DNX6                          0  0 o
Q8DNX7                          2  0 i18-36o42-64i
Q8DNY6                          0  0 o
Q8DNY7                          2  0 i274-297o309-334i
Q8DNZ2                          0  0 o
Q8DP00                          0  0 o
Q8DP01                          0  0 o
Q8DP07                          0  Y n17-28c33/34o
Q8DP10                          0  0 o
Q8DP12                          0  0 o
Q8DP13                          0  0 o
Q8DP26                          0  0 o
Q8DP38                          0  0 o
Q8DP39                          0  0 o
Q8DP42                          0  0 o
Q8DP52                          0  0 o
Q8DP64                          0  0 o
Q8DP65                          0  0 o
Q8DP66                          0  0 o
Q8DP69                          0  0 o
Q8DP73                          7  0 i21-41o47-69i81-104o110-129i141-160o166-186i195-214o
Q8DP78                          0  0 o
Q8DP79                          0  0 o
Q8DP87                          0  0 o
Q8DP89                          5  0 i32-52o64-81i145-161o167-184i248-274o
Q8DP90                          5  0 i21-41o61-86i147-175o246-267i274-298o
Q8DP91                          0  0 o
Q8DP97                          0  0 o
Q8DPA6                          0  0 o
Q8DPA8                          0  0 o
Q8DPB0                          0  0 o
Q8DPB1                          0  Y n7-18c23/24o
Q8DPB2                          6  0 i25-46o81-108i120-142o154-174i213-235o272-295i
Q8DPB3                          6  0 i12-34o66-87i99-123o129-145i166-183o260-280i
Q8DPB6                          0  0 o
Q8DPB8                          0  0 o
Q8DPB9                          0  0 o
Q8DPC8                          0  0 o
Q8DPD2                          0  Y n4-15c20/21o
Q8DPD5                          0  0 o
Q8DPD6                          1  0 i93-113o
Q8DPE0                          0  0 o
Q8DPE2                          6  0 i20-40o52-76i133-151o157-177i238-260o266-287i
Q8DPE3                          4  Y n35-46c51/52o75-98i145-169o175-196i267-285o
Q8DPE7                          0  0 o
Q8DPF0                          0  0 o
Q8DPF2                          0  Y n7-19c24/25o
Q8DPG0                          0  0 o
Q8DPG4                          0  0 o
Q8DPG7                          4  0 o6-24i31-50o56-75i87-108o
Q8DPH3                          0  0 o
Q8DPH5                          3  Y n15-26c30/31o40-59i158-178o198-222i
Q8DPH8                          0  0 i
Q8DPJ6                          0  0 o
Q8DPJ7                          0  0 o
Q8DPK5                          3  Y n5-18c23/24o518-544i556-577o694-713i
Q8DPL5                          0  0 o
Q8DPL6                          0  0 o
Q8DPM6                          0  0 o
Q8DPN0                          0  0 o
Q8DPN2                          0  0 i
Q8DPN3                          0  0 o
Q8DPN9                          0  0 o
Q8DPP0                          0  0 o
Q8DPP1                          0  0 o
Q8DPP2                          0  0 o
Q8DPP4                          0  0 o
Q8DPP5                          8  0 i30-50o70-90i102-121o133-155i219-238o281-303i338-358o378-406i
Q8DPP8                          0  0 o
Q8DPP9                          0  0 i
Q8DPQ0                          0  0 o
Q8DPQ4                          0  0 o
Q8DPQ6                         12  0 i12-31o60-79i91-113o133-154i166-186o192-216i243-265o285-307i319-339o359-376i388-408o414-434i
Q8DPR0                          0  0 o
Q8DPR1                          0  0 o
Q8DPR4                          0  0 o
Q8DPR7                          0  0 o
Q8DPS2                          0  0 o
Q8DPS3                          0  0 o
Q8DPS7                          0  0 o
Q8DPT2                          0  0 o
Q8DPT3                          0  0 o
Q8DPU0                          0  0 o
Q8DPU1                          0  0 o
Q8DPU4                          0  0 o
Q8DPU5                          0  0 o
Q8DPU7                          0  0 o
Q8DPW5                          0  0 o
Q8DPX8                          0  0 o
Q8DPY0                          0  0 o
Q8DPY7                          0  0 o
Q8DPZ2                          0  0 i
Q8DPZ4                          0  0 o
Q8DQ03                          2  0 i12-35o69-87i
Q8DQ04                          0  0 o
Q8DQ16                          0  0 o
Q8DQ20                          0  0 i
Q8DQ24                          0  Y n5-16c21/22o
Q8DQ25                          0  0 o
Q8DQ29                          0  0 o
Q8DQ30                          0  0 o
Q8DQ31                          1  Y n4-15c19/20o56-74i
Q8DQ34                          4  0 i12-30o36-53i60-80o102-123i
Q8DQ35                          0  0 o
Q8DQ43                          0  0 o
Q8DQ49                          0  0 o
Q8DQ55                          0  0 o
Q8DQ56                          0  0 o
Q8DQ59                          0  Y n3-8c16/17o
Q8DQ60                          0  0 o
Q8DQ62                          0  Y n5-17c25/26o
Q8DQ63                          0  0 o
Q8DQ68                          0  0 o
Q8DQ75                          4  0 o12-32i115-137o143-162i174-194o
Q8DQ77                          0  0 o
Q8DQ78                          0  0 o
Q8DQ86                          0  0 o
Q8DQ88                          0  0 o
Q8DQ91                          0  0 o
Q8DQ95                         11  0 i302-323o343-364i371-389o409-431i443-463o475-494i506-523o529-548i560-580o586-603i615-645o
Q8DQA2                          0  0 o
Q8DQA4                          0  0 o
Q8DQA5                          0  0 o
Q8DQC7                          0  0 o
Q8DQC9                          0  0 o
Q8DQD7                          0  0 o
Q8DQE5                          1  0 o6-27i
Q8DQF7                          4  0 i20-39o291-315i335-368o380-402i
Q8DQF8                          0  0 o
Q8DQG0                          0  0 o
Q8DQG1                          6  0 i7-24o30-46i58-80o86-103i115-134o140-162i
Q8DQG3                          0  0 o
Q8DQG5                          0  Y n4-15c20/21o
Q8DQG8                          0  0 o
Q8DQH2                          9  0 i21-42o62-83i90-111o144-163i184-207o313-330i342-358o364-388i409-436o
Q8DQH5                          0  0 o
Q8DQH8                          0  0 o
Q8DQI0                          8  0 o12-32i37-54o60-82i94-115o135-159i189-211o231-254i266-285o
Q8DQI4                          0  0 o
Q8DQJ1                          0  0 o
Q8DQJ4                          0  0 o
Q8DQJ5                          8  0 i114-134o140-157i178-195o201-218i352-372o392-415i692-719o725-746i
Q8DQK0                          0  0 o
Q8DQK7                          0  0 o
Q8DQM0                          1  0 i128-149o
Q8DQM6                          0  0 o
Q8DQN2                          0  0 o
Q8DQN3                          0  0 i
Q8DQN8                          0  0 o
Q8DQP4                          1  Y n18-33c45/46o2200-2221i
Q8DQP7                          1  Y n6-17c27/28o2119-2138i
Q8DQQ1                          0  Y n6-16c20/21o
Q8DQQ2                          0  0 o
Q8DQQ3                         12  0 i12-29o41-66i78-99o119-141i153-171o198-217i229-250o288-310i322-341o347-369i381-398o418-435i
Q8DQQ6                          0  0 o
Q8DQR0                          0  0 o
Q8DQR9                          2  0 i12-33o148-171i
Q8DQS0                          0  0 o
Q8DQS3                          0  0 o
Q8DQS9                          0  0 o
Q8DQT1                          0  0 o
Q8DQT9                          0  0 o
Q8DQU0                         10  0 i110-133o139-159i166-185o205-224i244-264o284-310i317-337o349-371i378-402o422-443i
Q8DQV1                          0  0 o
Q8DQV5                          0  0 o
Q8DQV6                          0  0 o
Q8DQW2                          5  0 i29-49o61-81i102-125o131-150i224-245o
Q8DQW9                          0  0 o
Q8DQX1                          0  0 o
Q8DQX2                          0  0 o
Q8DQY2                          5  0 o12-33i45-70o82-103i112-136o156-183i
Q8DQY5                          0  0 o
Q8DQY9                         10  0 i12-31o37-58i70-91o128-149i183-202o236-260i272-294o331-353i393-413o451-471i
Q8DQZ0                         10  0 i31-50o70-90i102-124o144-162i233-256o288-308i320-340o346-364i371-389o395-415i
Q8DQZ2                          0  0 i
Q8DQZ3                         12  0 i33-52o64-91i103-124o144-166i187-203o209-228i235-255o295-315i327-347o353-376i383-400o406-423i
Q8DQZ6                          0  0 o
Q8DR02                          0  0 o
Q8DR09                          0  0 o
Q8DR10                          0  0 o
Q8DR11                          0  0 o
Q8DR14                          0  0 i
Q8DR16                          0  0 o
Q8DR31                          0  0 o
Q8DR32                          0  0 i
Q8DR46                          2  0 i5-25o45-64i
Q8DR49                          1  0 i102-122o
Q8DR50                          0  0 o
Q8DR53                          0  0 o
Q8DR57                          0  0 o
Q8DR61                          0  Y n6-16c21/22o
Q8DR63                          0  0 o
Q8DR64                          0  0 o
Q8DR67                          0  0 o
Q8DR70                          1  0 i25-44o
Q8DR81                          0  0 o
Q8DR82                          0  0 o
