# SignalP-5.0	Organism: euk	
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
P59206	SP(Sec/SPI)	0.999482	0.000518	CS pos: 23-24. AMA-SD. Pr: 0.9360
P59214	SP(Sec/SPI)	0.850703	0.149297	CS pos: 27-28. CGS-KT. Pr: 0.2202
P59653	OTHER	0.000888	0.999112	
P59656	OTHER	0.000351	0.999649	
P59659	OTHER	0.000857	0.999143	
P59660	OTHER	0.000873	0.999127	
P59662	OTHER	0.170256	0.829744	
P60935	OTHER	0.023016	0.976984	
P62576	OTHER	0.019929	0.980071	
P63374	OTHER	0.000673	0.999327	
P63385	OTHER	0.000962	0.999038	
P63414	OTHER	0.001321	0.998679	
P63545	OTHER	0.000706	0.999294	
P63589	OTHER	0.002931	0.997069	
P63596	OTHER	0.002248	0.997752	
P63641	OTHER	0.001124	0.998876	
P63668	OTHER	0.000526	0.999474	
P63743	OTHER	0.000592	0.999408	
P63788	OTHER	0.001547	0.998453	
P63792	OTHER	0.000907	0.999093	
P63896	OTHER	0.003706	0.996294	
P64031	OTHER	0.000711	0.999289	
P64063	OTHER	0.000643	0.999357	
P64167	OTHER	0.001083	0.998917	
P64298	OTHER	0.000206	0.999794	
P65160	OTHER	0.001247	0.998753	
P65335	OTHER	0.000412	0.999588	
P65467	OTHER	0.000480	0.999520	
P65509	OTHER	0.000588	0.999412	
P65537	OTHER	0.000350	0.999650	
P65679	OTHER	0.001871	0.998129	
P65780	OTHER	0.000579	0.999421	
P65888	OTHER	0.002843	0.997157	
P66041	OTHER	0.000439	0.999561	
P66709	OTHER	0.001551	0.998449	
P66731	OTHER	0.000399	0.999601	
P66836	OTHER	0.000525	0.999475	
P66908	OTHER	0.000977	0.999023	
P66921	OTHER	0.000753	0.999247	
P66943	OTHER	0.000628	0.999372	
P67000	OTHER	0.000583	0.999417	
P67050	OTHER	0.000329	0.999671	
P67283	OTHER	0.345360	0.654640	
P67414	OTHER	0.001558	0.998442	
P67507	OTHER	0.001052	0.998948	
P67581	OTHER	0.000647	0.999353	
P67596	OTHER	0.000382	0.999618	
P67685	OTHER	0.006829	0.993171	
Q7CRA4	OTHER	0.000451	0.999549	
Q7CRB1	OTHER	0.000699	0.999301	
Q7CRB2	OTHER	0.000326	0.999674	
Q7CRB7	OTHER	0.001333	0.998667	
Q7ZAK5	OTHER	0.000242	0.999758	
Q7ZAK7	OTHER	0.002679	0.997321	
Q8CWN0	SP(Sec/SPI)	0.640123	0.359877	CS pos: 30-31. CLC-SD. Pr: 0.3239
Q8CWN4	OTHER	0.000752	0.999248	
Q8CWN5	OTHER	0.000399	0.999601	
Q8CWN8	OTHER	0.000794	0.999206	
Q8CWQ1	OTHER	0.002188	0.997812	
Q8CWQ3	OTHER	0.000795	0.999205	
Q8CWQ7	OTHER	0.000999	0.999001	
Q8CWR2	OTHER	0.000546	0.999454	
Q8CWR6	OTHER	0.003463	0.996537	
Q8CWR9	OTHER	0.000399	0.999601	
Q8CWS1	OTHER	0.002820	0.997180	
Q8CWS5	OTHER	0.000599	0.999401	
Q8CWS6	OTHER	0.000474	0.999526	
Q8CWS7	OTHER	0.046255	0.953745	
Q8CWT2	OTHER	0.001132	0.998868	
Q8CWT3	OTHER	0.002089	0.997911	
Q8CWT4	OTHER	0.000197	0.999803	
Q8CWU7	OTHER	0.000444	0.999556	
Q8CWW0	OTHER	0.001243	0.998757	
Q8CY84	OTHER	0.003997	0.996003	
Q8CYC9	OTHER	0.025554	0.974446	
Q8DMX2	OTHER	0.000917	0.999083	
Q8DMX3	OTHER	0.002116	0.997884	
Q8DMX7	OTHER	0.000264	0.999736	
Q8DMX9	OTHER	0.000480	0.999520	
Q8DMY0	OTHER	0.001555	0.998445	
Q8DMZ2	OTHER	0.000231	0.999769	
Q8DN02	OTHER	0.000359	0.999641	
Q8DN03	OTHER	0.001206	0.998794	
Q8DN24	OTHER	0.002543	0.997457	
Q8DN46	OTHER	0.000801	0.999199	
Q8DN52	OTHER	0.001277	0.998723	
Q8DN74	OTHER	0.000324	0.999676	
Q8DN86	OTHER	0.000734	0.999266	
Q8DN89	OTHER	0.000899	0.999101	
Q8DN90	OTHER	0.000985	0.999015	
Q8DN93	SP(Sec/SPI)	0.756762	0.243238	CS pos: 24-25. ACA-TN. Pr: 0.2950
Q8DNA2	OTHER	0.002309	0.997691	
Q8DNC9	OTHER	0.000777	0.999223	
Q8DND3	OTHER	0.001629	0.998371	
Q8DND5	OTHER	0.001501	0.998499	
Q8DNE1	SP(Sec/SPI)	0.825255	0.174745	CS pos: 23-24. TGC-VN. Pr: 0.3874
Q8DNE8	OTHER	0.005318	0.994682	
Q8DNF0	OTHER	0.000466	0.999534	
Q8DNF1	OTHER	0.002061	0.997939	
Q8DNH7	OTHER	0.000565	0.999435	
Q8DNI6	OTHER	0.001014	0.998986	
Q8DNK7	OTHER	0.001502	0.998498	
Q8DNL1	OTHER	0.001104	0.998896	
Q8DNP8	OTHER	0.001388	0.998612	
Q8DNR1	OTHER	0.001459	0.998541	
Q8DNR6	OTHER	0.000295	0.999705	
Q8DNR8	OTHER	0.005175	0.994825	
Q8DNR9	OTHER	0.000915	0.999085	
Q8DNT8	OTHER	0.000306	0.999694	
Q8DNV5	OTHER	0.007613	0.992387	
Q8DNV6	OTHER	0.001636	0.998364	
Q8DNV9	OTHER	0.003015	0.996985	
Q8DNW4	OTHER	0.002063	0.997937	
Q8DNX2	OTHER	0.000624	0.999376	
Q8DNX8	OTHER	0.001430	0.998570	
Q8DNY1	OTHER	0.249903	0.750097	
Q8DNY9	OTHER	0.001821	0.998179	
Q8DP05	OTHER	0.000381	0.999619	
Q8DP14	OTHER	0.001642	0.998358	
Q8DP16	OTHER	0.001814	0.998186	
Q8DP20	OTHER	0.000396	0.999604	
Q8DP37	OTHER	0.002401	0.997599	
Q8DP40	OTHER	0.269299	0.730701	
Q8DP44	OTHER	0.002625	0.997375	
Q8DP70	OTHER	0.003470	0.996530	
Q8DP71	OTHER	0.000208	0.999792	
Q8DP72	OTHER	0.219208	0.780792	
Q8DP74	OTHER	0.024880	0.975120	
Q8DPA0	OTHER	0.000519	0.999481	
Q8DPA1	OTHER	0.001264	0.998736	
Q8DPA3	OTHER	0.001470	0.998530	
Q8DPB4	OTHER	0.000884	0.999116	
Q8DPC2	OTHER	0.000480	0.999520	
Q8DPC7	OTHER	0.020460	0.979540	
Q8DPD1	OTHER	0.000561	0.999439	
Q8DPD4	OTHER	0.014555	0.985445	
Q8DPE1	OTHER	0.009172	0.990828	
Q8DPF7	OTHER	0.001538	0.998462	
Q8DPG6	OTHER	0.012620	0.987380	
Q8DPH1	OTHER	0.000279	0.999721	
Q8DPH9	OTHER	0.000225	0.999775	
Q8DPI2	OTHER	0.002407	0.997593	
Q8DPI3	OTHER	0.000629	0.999371	
Q8DPI9	OTHER	0.000390	0.999610	
Q8DPJ4	OTHER	0.000785	0.999215	
Q8DPJ9	OTHER	0.001664	0.998336	
Q8DPK2	OTHER	0.000350	0.999650	
Q8DPK3	OTHER	0.001643	0.998357	
Q8DPK7	OTHER	0.001542	0.998458	
Q8DPL9	OTHER	0.000630	0.999370	
Q8DPM2	OTHER	0.000443	0.999557	
Q8DPM9	OTHER	0.000488	0.999512	
Q8DPN5	OTHER	0.000302	0.999698	
Q8DPP6	OTHER	0.027087	0.972913	
Q8DPQ1	OTHER	0.001184	0.998816	
Q8DPQ5	OTHER	0.001581	0.998419	
Q8DPR3	OTHER	0.000313	0.999687	
Q8DPS0	OTHER	0.001146	0.998854	
Q8DPS5	OTHER	0.172632	0.827368	
Q8DPS6	OTHER	0.000602	0.999398	
Q8DPS9	OTHER	0.000821	0.999179	
Q8DPT6	OTHER	0.001093	0.998907	
Q8DPU8	OTHER	0.000622	0.999378	
Q8DPV1	OTHER	0.001440	0.998560	
Q8DPV4	OTHER	0.004534	0.995466	
Q8DPV8	OTHER	0.001571	0.998429	
Q8DPV9	OTHER	0.200248	0.799752	
Q8DPW1	OTHER	0.000889	0.999111	
Q8DPW6	OTHER	0.004432	0.995568	
Q8DPZ0	OTHER	0.000833	0.999167	
Q8DPZ3	OTHER	0.000640	0.999360	
Q8DPZ6	OTHER	0.000458	0.999542	
Q8DPZ8	OTHER	0.003033	0.996967	
Q8DPZ9	OTHER	0.000550	0.999450	
Q8DQ05	OTHER	0.001469	0.998531	
Q8DQ32	OTHER	0.002922	0.997078	
Q8DQ38	OTHER	0.000811	0.999189	
Q8DQ50	OTHER	0.001599	0.998401	
Q8DQ51	OTHER	0.012823	0.987177	
Q8DQ58	OTHER	0.000652	0.999348	
Q8DQ61	OTHER	0.001310	0.998690	
Q8DQ64	SP(Sec/SPI)	0.863557	0.136443	CS pos: 23-24. VKS-YI. Pr: 0.8220
Q8DQ84	OTHER	0.004262	0.995738	
Q8DQ85	OTHER	0.005120	0.994880	
Q8DQ87	OTHER	0.000803	0.999197	
Q8DQ96	OTHER	0.001186	0.998814	
Q8DQ99	SP(Sec/SPI)	0.995123	0.004877	CS pos: 22-23. AVA-QD. Pr: 0.6211
Q8DQB3	OTHER	0.001197	0.998803	
Q8DQB4	OTHER	0.000669	0.999331	
Q8DQB5	OTHER	0.000295	0.999705	
Q8DQC3	OTHER	0.001446	0.998554	
Q8DQC4	OTHER	0.001397	0.998603	
Q8DQC5	OTHER	0.000650	0.999350	
Q8DQD1	OTHER	0.001098	0.998902	
Q8DQD2	OTHER	0.001568	0.998432	
Q8DQD3	OTHER	0.001334	0.998666	
Q8DQE9	OTHER	0.001725	0.998275	
Q8DQF1	OTHER	0.000336	0.999664	
Q8DQG9	OTHER	0.002169	0.997831	
Q8DQH0	OTHER	0.000766	0.999234	
Q8DQH1	OTHER	0.001161	0.998839	
Q8DQH3	OTHER	0.001412	0.998588	
Q8DQH4	OTHER	0.000853	0.999147	
Q8DQI3	OTHER	0.000306	0.999694	
Q8DQJ8	OTHER	0.037630	0.962370	
Q8DQJ9	OTHER	0.001014	0.998986	
Q8DQK4	OTHER	0.308514	0.691486	
Q8DQK5	OTHER	0.001273	0.998727	
Q8DQK6	OTHER	0.000771	0.999229	
Q8DQL5	OTHER	0.001322	0.998678	
Q8DQL6	OTHER	0.001159	0.998841	
Q8DQM1	OTHER	0.015762	0.984238	
Q8DQM2	OTHER	0.002611	0.997389	
Q8DQN1	OTHER	0.000636	0.999364	
Q8DQQ9	OTHER	0.000931	0.999069	
Q8DQR3	OTHER	0.001737	0.998263	
Q8DQS7	OTHER	0.000599	0.999401	
Q8DQS8	OTHER	0.001697	0.998303	
Q8DQT0	OTHER	0.001072	0.998928	
Q8DQT2	OTHER	0.000718	0.999282	
Q8DQT6	OTHER	0.001405	0.998595	
Q8DQT8	OTHER	0.000555	0.999445	
Q8DQU7	OTHER	0.000537	0.999463	
Q8DQV2	OTHER	0.000445	0.999555	
Q8DQX6	OTHER	0.000801	0.999199	
Q8DQX8	OTHER	0.000422	0.999578	
Q8DQY3	OTHER	0.001463	0.998537	
Q8DQZ1	OTHER	0.008178	0.991822	
Q8DQZ7	OTHER	0.002676	0.997324	
Q8DR04	OTHER	0.000731	0.999269	
Q8DR05	OTHER	0.000677	0.999323	
Q8DR13	OTHER	0.000704	0.999296	
Q8DR15	OTHER	0.002344	0.997656	
Q8DR19	OTHER	0.000623	0.999377	
Q8DR20	OTHER	0.002721	0.997279	
Q8DR22	OTHER	0.000514	0.999486	
Q8DR28	OTHER	0.000333	0.999667	
Q8DR29	OTHER	0.000705	0.999295	
Q8DR34	OTHER	0.001805	0.998195	
Q8DR48	OTHER	0.000456	0.999544	
Q8DR54	OTHER	0.013581	0.986419	
Q8DR69	OTHER	0.026380	0.973620	
Q8DRB0	OTHER	0.000653	0.999347	
Q8DRB3	OTHER	0.001512	0.998488	
Q8DRD4	OTHER	0.033076	0.966924	
Q8DRE8	OTHER	0.002189	0.997811	
Q8DRE9	OTHER	0.001559	0.998441	
Q8DRF9	OTHER	0.000285	0.999715	
Q8DRH2	OTHER	0.001281	0.998719	
Q8DRH7	OTHER	0.005311	0.994689	
Q8DRI5	OTHER	0.001370	0.998630	
Q8DRL8	OTHER	0.000545	0.999455	
Q8DRM0	OTHER	0.003483	0.996517	
Q8DRM1	OTHER	0.001321	0.998679	
Q8DRM3	OTHER	0.001901	0.998099	
Q8DRM4	OTHER	0.001379	0.998621	
Q8DRM5	OTHER	0.001346	0.998654	
Q8DRP0	OTHER	0.001308	0.998692	
Q8DRP8	OTHER	0.000772	0.999228	
Q8DRQ1	OTHER	0.000917	0.999083	
Q8DRQ2	OTHER	0.000607	0.999393	
Q8DRQ4	OTHER	0.000855	0.999145	
P0A2U7	OTHER	0.001084	0.998916	
P0A2Y3	OTHER	0.000614	0.999386	
P0A3B8	OTHER	0.000561	0.999439	
P0A3L8	OTHER	0.002453	0.997547	
P0A3Q1	OTHER	0.041493	0.958507	
P0A3Q8	OTHER	0.198338	0.801662	
P0A3R2	OTHER	0.000684	0.999316	
P0A3Y8	OTHER	0.001527	0.998473	
P0A460	OTHER	0.001161	0.998839	
P0A472	OTHER	0.000476	0.999524	
P0A474	OTHER	0.001334	0.998666	
P0A476	OTHER	0.002307	0.997693	
P0A484	OTHER	0.000526	0.999474	
P0A496	OTHER	0.005470	0.994530	
P0A4B4	OTHER	0.000653	0.999347	
P0A4B6	OTHER	0.000799	0.999201	
P0A4C4	OTHER	0.000763	0.999237	
P0A4G1	SP(Sec/SPI)	0.832311	0.167689	CS pos: 26-27. ACG-NS. Pr: 0.1508
P0A4G3	SP(Sec/SPI)	0.992812	0.007188	CS pos: 23-24. ASG-KK. Pr: 0.6021
P0A4K5	OTHER	0.004141	0.995859	
P0A4M8	OTHER	0.110795	0.889205	
P0A4N0	OTHER	0.000114	0.999886	
P0A4N2	OTHER	0.004331	0.995669	
P0A4N4	OTHER	0.005475	0.994525	
P59204	OTHER	0.034501	0.965499	
P59212	OTHER	0.000519	0.999481	
P59651	OTHER	0.006177	0.993823	
P59654	OTHER	0.099702	0.900298	
P59658	OTHER	0.000624	0.999376	
P59661	OTHER	0.000594	0.999406	
P60243	OTHER	0.000719	0.999281	
P60630	OTHER	0.001500	0.998500	
P61183	OTHER	0.000229	0.999771	
P61361	OTHER	0.000939	0.999061	
P63958	OTHER	0.000211	0.999789	
P64023	OTHER	0.001208	0.998792	
P64043	OTHER	0.000842	0.999158	
P64073	OTHER	0.000652	0.999348	
P64404	OTHER	0.001094	0.998906	
P64406	OTHER	0.000371	0.999629	
P65122	OTHER	0.000451	0.999549	
P65145	OTHER	0.000986	0.999014	
P65505	OTHER	0.000480	0.999520	
P65521	OTHER	0.000864	0.999136	
P65583	OTHER	0.002149	0.997851	
P65608	OTHER	0.000787	0.999213	
P65756	OTHER	0.001126	0.998874	
P65833	OTHER	0.000525	0.999475	
P65947	OTHER	0.000390	0.999610	
P66051	OTHER	0.000468	0.999532	
P66096	OTHER	0.000825	0.999175	
P66113	OTHER	0.000656	0.999344	
P66136	OTHER	0.001613	0.998387	
P66156	OTHER	0.000290	0.999710	
P66201	OTHER	0.000739	0.999261	
P66257	OTHER	0.011125	0.988875	
P66279	OTHER	0.000642	0.999358	
P66321	OTHER	0.001207	0.998793	
P66340	OTHER	0.000506	0.999494	
P66360	OTHER	0.000649	0.999351	
P66393	OTHER	0.001050	0.998950	
P66420	OTHER	0.000652	0.999348	
P66445	OTHER	0.000749	0.999251	
P66473	OTHER	0.000644	0.999356	
P66525	OTHER	0.000406	0.999594	
P66566	OTHER	0.001364	0.998636	
P66582	OTHER	0.000602	0.999398	
P66603	OTHER	0.000316	0.999684	
P66633	OTHER	0.001105	0.998895	
P66718	OTHER	0.001102	0.998898	
P66855	OTHER	0.002894	0.997106	
P67267	OTHER	0.000837	0.999163	
P67319	OTHER	0.002505	0.997495	
P67331	OTHER	0.006560	0.993440	
P67383	OTHER	0.002567	0.997433	
P67466	OTHER	0.000178	0.999822	
P67531	OTHER	0.001521	0.998479	
Q7CRB0	OTHER	0.001785	0.998215	
Q7CRB8	OTHER	0.001105	0.998895	
Q7ZAK6	OTHER	0.001453	0.998547	
Q8CWM8	OTHER	0.000943	0.999057	
Q8CWN3	OTHER	0.002249	0.997751	
Q8CWN6	OTHER	0.000475	0.999525	
Q8CWN7	OTHER	0.013781	0.986219	
Q8CWN9	OTHER	0.001816	0.998184	
Q8CWP3	OTHER	0.000203	0.999797	
Q8CWP4	OTHER	0.000726	0.999274	
Q8CWP8	SP(Sec/SPI)	0.930320	0.069680	CS pos: 29-30. IHA-NE. Pr: 0.8259
Q8CWQ0	OTHER	0.001265	0.998735	
Q8CWQ4	OTHER	0.000351	0.999649	
Q8CWQ6	OTHER	0.000734	0.999266	
Q8CWQ9	OTHER	0.001426	0.998574	
Q8CWR3	OTHER	0.000672	0.999328	
Q8CWR5	OTHER	0.001058	0.998942	
Q8CWR8	OTHER	0.003013	0.996987	
Q8CWS0	OTHER	0.000211	0.999789	
Q8CWS2	OTHER	0.001736	0.998264	
Q8CWS4	OTHER	0.002348	0.997652	
Q8CWS9	OTHER	0.001516	0.998484	
Q8CWT6	OTHER	0.004898	0.995102	
Q8CWT8	SP(Sec/SPI)	0.865776	0.134224	CS pos: 27-28. VMA-VD. Pr: 0.8357
Q8CWU3	OTHER	0.075428	0.924572	
Q8CWU4	OTHER	0.001270	0.998730	
Q8CWU5	OTHER	0.000933	0.999067	
Q8CWU6	OTHER	0.000267	0.999733	
Q8CWU8	OTHER	0.000351	0.999649	
Q8CWV0	OTHER	0.000951	0.999049	
Q8CWV1	OTHER	0.000676	0.999324	
Q8CWV2	OTHER	0.000796	0.999204	
Q8CWV3	OTHER	0.004289	0.995711	
Q8CWV4	OTHER	0.000589	0.999411	
Q8CWV5	OTHER	0.000568	0.999432	
Q8CWV6	OTHER	0.000871	0.999129	
Q8CWV7	OTHER	0.000561	0.999439	
Q8CWV8	OTHER	0.002924	0.997076	
Q8CWW1	OTHER	0.001687	0.998313	
Q8CY62	SP(Sec/SPI)	0.757969	0.242031	CS pos: 31-32. VKA-DN. Pr: 0.6378
Q8CY64	OTHER	0.000454	0.999546	
Q8CYJ1	OTHER	0.000255	0.999745	
Q8CYV3	OTHER	0.245514	0.754486	
Q8CZ28	OTHER	0.059953	0.940047	
Q8CZ37	OTHER	0.000843	0.999157	
Q8CZ52	SP(Sec/SPI)	0.730236	0.269764	CS pos: 37-38. ALA-EE. Pr: 0.6800
Q8CZE9	OTHER	0.003754	0.996246	
Q8DMX8	OTHER	0.079944	0.920056	
Q8DMY1	OTHER	0.000923	0.999077	
Q8DMY3	OTHER	0.171052	0.828948	
Q8DMY8	OTHER	0.000680	0.999320	
Q8DMZ0	OTHER	0.000456	0.999544	
Q8DMZ1	OTHER	0.002108	0.997892	
Q8DN06	OTHER	0.000584	0.999416	
Q8DN07	OTHER	0.001986	0.998014	
Q8DN12	OTHER	0.000226	0.999774	
Q8DN13	OTHER	0.002455	0.997545	
Q8DN27	OTHER	0.002363	0.997637	
Q8DN28	OTHER	0.041529	0.958471	
Q8DN31	OTHER	0.000257	0.999743	
Q8DN40	OTHER	0.033498	0.966502	
Q8DN49	OTHER	0.000989	0.999011	
Q8DN51	OTHER	0.000635	0.999365	
Q8DN54	OTHER	0.000692	0.999308	
Q8DN55	OTHER	0.000747	0.999253	
Q8DN56	OTHER	0.000415	0.999585	
Q8DN58	OTHER	0.005400	0.994600	
Q8DN62	OTHER	0.006693	0.993307	
Q8DN63	OTHER	0.003077	0.996923	
Q8DN64	SP(Sec/SPI)	0.901818	0.098182	CS pos: 22-23. VAC-GN. Pr: 0.3397
Q8DN65	OTHER	0.005118	0.994882	
Q8DN66	OTHER	0.000274	0.999726	
Q8DN69	OTHER	0.000388	0.999612	
Q8DN70	OTHER	0.066791	0.933209	
Q8DN72	OTHER	0.015010	0.984990	
Q8DN75	OTHER	0.000686	0.999314	
Q8DN76	OTHER	0.002605	0.997395	
Q8DN81	OTHER	0.001235	0.998765	
Q8DN83	OTHER	0.000643	0.999357	
Q8DN92	OTHER	0.000330	0.999670	
Q8DN94	OTHER	0.001750	0.998250	
Q8DN96	OTHER	0.001435	0.998565	
Q8DN97	OTHER	0.000958	0.999042	
Q8DN98	OTHER	0.000722	0.999278	
Q8DN99	OTHER	0.001206	0.998794	
Q8DNA5	OTHER	0.000569	0.999431	
Q8DNA6	OTHER	0.000373	0.999627	
Q8DNA8	OTHER	0.000321	0.999679	
Q8DNB2	OTHER	0.002482	0.997518	
Q8DNB5	OTHER	0.001500	0.998500	
Q8DNB8	OTHER	0.000883	0.999117	
Q8DNC1	OTHER	0.002628	0.997372	
Q8DNC2	OTHER	0.001244	0.998756	
Q8DNC4	OTHER	0.022596	0.977404	
Q8DNC7	OTHER	0.000999	0.999001	
Q8DND6	OTHER	0.000353	0.999647	
Q8DND7	OTHER	0.021357	0.978643	
Q8DND9	OTHER	0.000747	0.999253	
Q8DNE0	OTHER	0.000823	0.999177	
Q8DNE2	OTHER	0.009722	0.990278	
Q8DNE7	OTHER	0.087692	0.912308	
Q8DNF3	SP(Sec/SPI)	0.996307	0.003693	CS pos: 25-26. VTA-QE. Pr: 0.9773
Q8DNF4	OTHER	0.001123	0.998877	
Q8DNF8	OTHER	0.001440	0.998560	
Q8DNH4	OTHER	0.001854	0.998146	
Q8DNH5	OTHER	0.001311	0.998689	
Q8DNH6	OTHER	0.000614	0.999386	
Q8DNI1	SP(Sec/SPI)	0.982400	0.017600	CS pos: 21-22. VLA-AC. Pr: 0.5902
Q8DNI7	OTHER	0.000788	0.999212	
Q8DNI9	OTHER	0.002856	0.997144	
Q8DNJ0	OTHER	0.003203	0.996797	
Q8DNJ1	OTHER	0.030535	0.969465	
Q8DNJ6	OTHER	0.003443	0.996557	
Q8DNJ7	OTHER	0.000953	0.999047	
Q8DNJ8	OTHER	0.000425	0.999575	
Q8DNJ9	OTHER	0.000705	0.999295	
Q8DNK2	OTHER	0.005693	0.994307	
Q8DNK8	OTHER	0.000632	0.999368	
Q8DNL3	OTHER	0.003292	0.996708	
Q8DNL4	OTHER	0.010447	0.989553	
Q8DNL6	OTHER	0.001371	0.998629	
Q8DNL8	OTHER	0.000290	0.999710	
Q8DNL9	OTHER	0.002424	0.997576	
Q8DNM0	SP(Sec/SPI)	0.924274	0.075726	CS pos: 21-22. TLA-AC. Pr: 0.3853
Q8DNM2	OTHER	0.009306	0.990694	
Q8DNM5	OTHER	0.012415	0.987585	
Q8DNM6	OTHER	0.000403	0.999597	
Q8DNM7	OTHER	0.000988	0.999012	
Q8DNM8	OTHER	0.000631	0.999369	
Q8DNM9	OTHER	0.001181	0.998819	
Q8DNP1	OTHER	0.000765	0.999235	
Q8DNP4	OTHER	0.000558	0.999442	
Q8DNP5	OTHER	0.000270	0.999730	
Q8DNP9	OTHER	0.000738	0.999262	
Q8DNQ9	OTHER	0.000631	0.999369	
Q8DNR5	OTHER	0.003248	0.996752	
