ID	Evidences length	Evidences list	Complete evidences
Q8DNL3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DNL4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DNM2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DNS8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DNU7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DNW7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DNX7	1	PHOBIUS_TM	PHOBIUS_TM
Q8DNY7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DP73	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DP89	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DP90	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DPB2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DPB3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DPD2	1	SL	SL
Q8DPD6	1	PHOBIUS_TM	PHOBIUS_TM
Q8DPE2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DPE3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DPG7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DPH5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DPK5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DPP5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DPQ6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQ03	1	PHOBIUS_TM	PHOBIUS_TM
Q8DQ31	2	GPI|PHOBIUS_TM	GPI|PHOBIUS_TM
Q8DQ34	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQ75	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
Q8DQ95	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQE5	1	PHOBIUS_TM	PHOBIUS_TM
Q8DQF7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQG1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQH2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQI0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQJ5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQM0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQP4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQP7	1	PHOBIUS_TM	PHOBIUS_TM
Q8DQQ3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQR9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQU0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQW2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQY2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQY9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQZ0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQZ3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DR46	1	PHOBIUS_TM	PHOBIUS_TM
Q8DR49	1	PHOBIUS_TM	PHOBIUS_TM
Q8DR70	1	PHOBIUS_TM	PHOBIUS_TM
Q8DR84	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DRA6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DRB1	1	PHOBIUS_TM	PHOBIUS_TM
Q8DRB2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DRC0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DRD5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DRD9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DRG5	1	SL	SL
Q8DRI2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DRK0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
P67294	1	GPI	GPI
Q7CRB5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CLX6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CWN1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CWQ2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CWR7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CWT9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CWU1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CWU2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CY68	1	PHOBIUS_TM	PHOBIUS_TM
Q8CY70	1	PHOBIUS_TM	PHOBIUS_TM
Q8CY71	1	PHOBIUS_TM	PHOBIUS_TM
Q8CY72	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CY73	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
Q8CY74	1	PHOBIUS_TM	PHOBIUS_TM
Q8CY76	1	PHOBIUS_TM	PHOBIUS_TM
Q8CY77	1	PHOBIUS_TM	PHOBIUS_TM
Q8CY82	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CY83	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CY89	1	PHOBIUS_TM	PHOBIUS_TM
Q8CY91	1	PHOBIUS_TM	PHOBIUS_TM
Q8CY92	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CY93	1	PHOBIUS_TM	PHOBIUS_TM
Q8CY97	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CY98	1	PHOBIUS_TM	PHOBIUS_TM
Q8CYA2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CYB3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CYB8	1	PHOBIUS_TM	PHOBIUS_TM
Q8CYC1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CYD1	1	PHOBIUS_TM	PHOBIUS_TM
Q8CYD8	1	PHOBIUS_TM	PHOBIUS_TM
Q8CYE3	1	PHOBIUS_TM	PHOBIUS_TM
Q8CYE6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CYE7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CYE9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CYF0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CYF1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CYF2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CYF4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CYF5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CYF6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CYF7	1	PHOBIUS_TM	PHOBIUS_TM
Q8CYG0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CYG1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CYG4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CYG6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CYG7	1	PHOBIUS_TM	PHOBIUS_TM
Q8CYG9	1	PHOBIUS_TM	PHOBIUS_TM
Q8CYH1	1	PHOBIUS_TM	PHOBIUS_TM
Q8CYH2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CYH3	1	PHOBIUS_TM	PHOBIUS_TM
Q8CYH4	1	PHOBIUS_TM	PHOBIUS_TM
Q8CYH5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CYH9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CYI0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CYI1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CYI3	1	PHOBIUS_TM	PHOBIUS_TM
Q8CYI5	1	SL	SL
Q8CYI6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CYI7	1	PHOBIUS_TM	PHOBIUS_TM
Q8CYI8	1	PHOBIUS_TM	PHOBIUS_TM
Q8CYK3	1	PHOBIUS_TM	PHOBIUS_TM
Q8CYL0	1	PHOBIUS_TM	PHOBIUS_TM
Q8CYL1	1	PHOBIUS_TM	PHOBIUS_TM
Q8CYL5	1	PHOBIUS_TM	PHOBIUS_TM
Q8CYL9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CYM1	1	PHOBIUS_TM	PHOBIUS_TM
Q8CYM3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CYM4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CYM6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CYM8	1	PHOBIUS_TM	PHOBIUS_TM
Q8CYM9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CYN0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CYN1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CYN7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CYN8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CYN9	1	PHOBIUS_TM	PHOBIUS_TM
Q8CYP4	1	PHOBIUS_TM	PHOBIUS_TM
Q8CYQ5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CYS3	1	PHOBIUS_TM	PHOBIUS_TM
Q8CYS4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CYU6	1	PHOBIUS_TM	PHOBIUS_TM
Q8CYU8	1	PHOBIUS_TM	PHOBIUS_TM
Q8CYU9	1	PHOBIUS_TM	PHOBIUS_TM
Q8CYV1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CYV2	1	PHOBIUS_TM	PHOBIUS_TM
Q8CYV4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CYV5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CYW3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CYW5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CYW6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CYX5	1	SL	SL
Q8CYX8	1	PHOBIUS_TM	PHOBIUS_TM
Q8CYX9	1	PHOBIUS_TM	PHOBIUS_TM
Q8CYY1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CYY6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CYZ5	1	PHOBIUS_TM	PHOBIUS_TM
Q8CYZ6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CZ02	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CZ03	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CZ04	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CZ05	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CZ07	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CZ08	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CZ09	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CZ11	1	PHOBIUS_TM	PHOBIUS_TM
Q8CZ12	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CZ19	1	PHOBIUS_TM	PHOBIUS_TM
Q8CZ20	1	PHOBIUS_TM	PHOBIUS_TM
Q8CZ21	1	PHOBIUS_TM	PHOBIUS_TM
Q8CZ31	1	PHOBIUS_TM	PHOBIUS_TM
Q8CZ35	1	PHOBIUS_TM	PHOBIUS_TM
Q8CZ44	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CZ49	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CZ50	1	PHOBIUS_TM	PHOBIUS_TM
Q8CZ51	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CZ59	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CZ63	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CZ72	1	PHOBIUS_TM	PHOBIUS_TM
Q8CZ73	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CZ74	1	PHOBIUS_TM	PHOBIUS_TM
Q8CZ77	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CZ84	1	PHOBIUS_TM	PHOBIUS_TM
Q8CZ87	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CZ88	2	GPI|PHOBIUS_TM	GPI|PHOBIUS_TM
Q8CZ91	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CZ92	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CZ93	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CZ94	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CZ95	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CZ96	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CZ97	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CZA0	1	PHOBIUS_TM	PHOBIUS_TM
Q8CZA2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CZA3	1	PHOBIUS_TM	PHOBIUS_TM
Q8CZA4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CZA5	1	PHOBIUS_TM	PHOBIUS_TM
Q8CZA6	1	PHOBIUS_TM	PHOBIUS_TM
Q8CZA7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CZA8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CZA9	1	PHOBIUS_TM	PHOBIUS_TM
Q8CZB1	1	PHOBIUS_TM	PHOBIUS_TM
Q8CZB2	1	PHOBIUS_TM	PHOBIUS_TM
Q8CZB6	1	PHOBIUS_TM	PHOBIUS_TM
Q8CZB8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CZB9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CZC0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CZC5	1	PHOBIUS_TM	PHOBIUS_TM
Q8CZC9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8CZD1	1	PHOBIUS_TM	PHOBIUS_TM
Q8CZD2	1	PHOBIUS_TM	PHOBIUS_TM
Q8DMW4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DMW8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DMW9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DMX0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DMZ6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DN04	1	PHOBIUS_TM	PHOBIUS_TM
Q8DN11	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DN21	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DN22	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DN45	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DN48	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DN53	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DN57	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DN80	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DN87	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DNA3	1	PHOBIUS_TM	PHOBIUS_TM
Q8DNB1	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
Q8DNB4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DNB7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DNC0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DND1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DNE4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DNE9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DNF6	1	PHOBIUS_TM	PHOBIUS_TM
Q8DNG1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DNG6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DNG7	1	PHOBIUS_TM	PHOBIUS_TM
Q8DNG9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DNH9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DNI0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DNI4	1	PHOBIUS_TM	PHOBIUS_TM
Q8DNJ4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DNJ5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DNK1	1	PHOBIUS_TM	PHOBIUS_TM
Q8DNK3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DNL0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DNL5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DNM3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DNN1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DNN4	1	PHOBIUS_TM	PHOBIUS_TM
Q8DNN8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DNN9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DNP7	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DNQ1	1	PHOBIUS_TM	PHOBIUS_TM
Q8DNQ2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DNQ3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DNS1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DNT2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DNU3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DNU4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DNU9	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DNV0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DNV4	1	PHOBIUS_TM	PHOBIUS_TM
Q8DNW2	1	PHOBIUS_TM	PHOBIUS_TM
Q8DNY0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DNY2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DNZ1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DNZ3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DP02	1	SL	SL
Q8DP19	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DP25	1	PHOBIUS_TM	PHOBIUS_TM
Q8DP32	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DP33	1	PHOBIUS_TM	PHOBIUS_TM
Q8DP34	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DP46	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DP48	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DP55	3	GPI|PHOBIUS_TM|SL	GPI|PHOBIUS_TM|SL
Q8DP76	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DP82	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DP88	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DPA4	1	PHOBIUS_TM	PHOBIUS_TM
Q8DPC0	1	PHOBIUS_TM	PHOBIUS_TM
Q8DPC3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DPC4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DPD9	1	PHOBIUS_TM	PHOBIUS_TM
Q8DPE5	1	PHOBIUS_TM	PHOBIUS_TM
Q8DPE6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DPF3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DPF4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DPH2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DPH4	1	PHOBIUS_TM	PHOBIUS_TM
Q8DPI1	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DPI5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DPI8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DPJ0	1	PHOBIUS_TM	PHOBIUS_TM
Q8DPJ5	1	PHOBIUS_TM	PHOBIUS_TM
Q8DPK6	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DPL2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DPM4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DPR2	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DPT0	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DPT5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DPT8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DPW3	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DPW8	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DPX2	1	PHOBIUS_TM	PHOBIUS_TM
Q8DPY4	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DPY5	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQ01	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQ02	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQ11	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
Q8DQ19	2	PHOBIUS_TM|SL	PHOBIUS_TM|SL
